insert into attendance_detail values(1294, 1248, '10:55', '17:56');
insert into attendance_detail values(1031, 1002, '09:40', '17:50');
insert into attendance_detail values(1032, 1003, '09:06', '17:58');
insert into attendance_detail values(1033, 1004, '09:01', '17:54');
insert into attendance_detail values(1034, 1005, '09:07', '17:50');
insert into attendance_detail values(1035, 1006, '09:08', '17:53');
insert into attendance_detail values(1036, 1007, '10:19', '17:52');
insert into attendance_detail values(1037, 1008, '09:07', '17:52');
insert into attendance_detail values(1038, 1009, '09:06', '17:59');
insert into attendance_detail values(1039, 1010, '09:09', '17:56');
insert into attendance_detail values(1040, 1011, '09:52', '17:54');
insert into attendance_detail values(1041, 1012, '09:05', '17:54');
insert into attendance_detail values(1043, 1014, '10:38', '15:14');
insert into attendance_detail values(1044, 1015, '09:10', '17:52');
insert into attendance_detail values(1045, 1016, '09:15', '17:58');
insert into attendance_detail values(1046, 1017, '09:04', '17:56');
insert into attendance_detail values(1047, 1018, '09:05', '17:57');
insert into attendance_detail values(1048, 1019, '09:05', '17:50');
insert into attendance_detail values(1049, 1020, '09:01', '17:51');
insert into attendance_detail values(1050, 1021, '09:08', '17:59');
insert into attendance_detail values(1051, 1022, '09:04', '17:58');
insert into attendance_detail values(1052, 1023, '09:04', '17:55');
insert into attendance_detail values(1053, 1024, '09:10', '17:56');
insert into attendance_detail values(1054, 1025, '10:54', '17:53');
insert into attendance_detail values(1055, 1026, '09:04', '17:50');
insert into attendance_detail values(1056, 1027, '09:55', '17:59');
insert into attendance_detail values(1057, 1028, '09:05', '17:57');
insert into attendance_detail values(1058, 1029, '09:09', '17:56');
insert into attendance_detail values(1059, 1030, '09:37', '11:50');
insert into attendance_detail values(1060, 1030, '12:57', '17:52');
insert into attendance_detail values(1061, 1031, '10:30', '14:14');
insert into attendance_detail values(1062, 1032, '09:04', '17:56');
insert into attendance_detail values(1063, 1033, '09:03', '17:58');
insert into attendance_detail values(1064, 1034, '09:00', '10:41');
insert into attendance_detail values(1065, 1034, '11:54', '17:51');
insert into attendance_detail values(1066, 1035, '09:52', '14:26');
insert into attendance_detail values(1067, 1035, '15:44', '17:53');
insert into attendance_detail values(1068, 1036, '09:05', '17:54');
insert into attendance_detail values(1069, 1037, '09:10', '17:58');
insert into attendance_detail values(1070, 1038, '09:10', '17:50');
insert into attendance_detail values(1071, 1039, '09:02', '17:52');
insert into attendance_detail values(1072, 1040, '09:08', '17:57');
insert into attendance_detail values(1073, 1041, '09:00', '17:54');
insert into attendance_detail values(1074, 1042, '09:10', '12:17');
insert into attendance_detail values(1075, 1043, '09:01', '17:58');
insert into attendance_detail values(1076, 1044, '09:05', '14:52');
insert into attendance_detail values(1077, 1044, '15:53', '17:54');
insert into attendance_detail values(1078, 1045, '09:01', '17:55');
insert into attendance_detail values(1079, 1046, '10:21', '17:50');
insert into attendance_detail values(1080, 1047, '09:01', '11:55');
insert into attendance_detail values(1081, 1047, '12:51', '17:51');
insert into attendance_detail values(1082, 1048, '09:10', '17:56');
insert into attendance_detail values(1083, 1049, '09:04', '17:55');
insert into attendance_detail values(1084, 1050, '09:08', '17:58');
insert into attendance_detail values(1085, 1051, '09:10', '17:50');
insert into attendance_detail values(1086, 1052, '09:07', '17:51');
insert into attendance_detail values(1087, 1053, '09:00', '17:52');
insert into attendance_detail values(1088, 1054, '09:07', '17:57');
insert into attendance_detail values(1089, 1055, '09:07', '17:51');
insert into attendance_detail values(1090, 1056, '10:58', '17:56');
insert into attendance_detail values(1091, 1057, '09:02', '17:52');
insert into attendance_detail values(1092, 1058, '09:02', '17:52');
insert into attendance_detail values(1093, 1059, '09:10', '17:59');
insert into attendance_detail values(1094, 1060, '09:03', '17:50');
insert into attendance_detail values(1095, 1061, '09:05', '17:57');
insert into attendance_detail values(1096, 1062, '09:05', '17:57');
insert into attendance_detail values(1097, 1063, '09:05', '11:53');
insert into attendance_detail values(1098, 1063, '12:35', '17:59');
insert into attendance_detail values(1099, 1064, '09:24', '17:51');
insert into attendance_detail values(1100, 1065, '09:02', '17:51');
insert into attendance_detail values(1101, 1066, '09:04', '17:57');
insert into attendance_detail values(1154, 1119, '09:01', '17:52');
insert into attendance_detail values(1155, 1120, '10:40', '17:55');
insert into attendance_detail values(1156, 1121, '09:05', '17:50');
insert into attendance_detail values(1157, 1122, '09:05', '17:56');
insert into attendance_detail values(1158, 1123, '09:02', '17:58');
insert into attendance_detail values(1161, 1126, '09:01', '17:58');
insert into attendance_detail values(1162, 1127, '09:56', '12:22');
insert into attendance_detail values(1163, 1127, '13:40', '17:52');
insert into attendance_detail values(1164, 1128, '09:09', '11:04');
insert into attendance_detail values(1165, 1128, '12:57', '17:53');
insert into attendance_detail values(1166, 1129, '09:00', '17:58');
insert into attendance_detail values(1167, 1130, '09:06', '17:58');
insert into attendance_detail values(1168, 1131, '09:04', '17:58');
insert into attendance_detail values(1169, 1132, '09:09', '17:51');
insert into attendance_detail values(1170, 1133, '09:00', '17:58');
insert into attendance_detail values(1171, 1134, '09:06', '17:53');
insert into attendance_detail values(1172, 1135, '09:03', '17:53');
insert into attendance_detail values(1173, 1136, '09:02', '17:55');
insert into attendance_detail values(1174, 1137, '09:05', '17:55');
insert into attendance_detail values(1175, 1138, '09:05', '17:50');
insert into attendance_detail values(1176, 1139, '09:09', '17:59');
insert into attendance_detail values(1177, 1140, '09:06', '17:59');
insert into attendance_detail values(1178, 1141, '09:00', '17:52');
insert into attendance_detail values(1179, 1142, '09:00', '17:53');
insert into attendance_detail values(1180, 1143, '09:06', '17:53');
insert into attendance_detail values(1181, 1144, '09:06', '17:59');
insert into attendance_detail values(1182, 1145, '09:34', '17:59');
insert into attendance_detail values(1183, 1146, '09:02', '17:56');
insert into attendance_detail values(1184, 1147, '09:08', '17:59');
insert into attendance_detail values(1185, 1148, '09:00', '17:54');
insert into attendance_detail values(1186, 1149, '09:32', '17:55');
insert into attendance_detail values(1187, 1150, '09:03', '17:50');
insert into attendance_detail values(1188, 1151, '09:10', '17:52');
insert into attendance_detail values(1189, 1152, '10:42', '11:34');
insert into attendance_detail values(1190, 1152, '12:32', '17:51');
insert into attendance_detail values(1191, 1153, '09:09', '17:50');
insert into attendance_detail values(1192, 1154, '09:05', '17:58');
insert into attendance_detail values(1193, 1155, '09:08', '17:54');
insert into attendance_detail values(1194, 1156, '09:00', '17:53');
insert into attendance_detail values(1195, 1157, '09:03', '17:57');
insert into attendance_detail values(1196, 1158, '09:00', '17:58');
insert into attendance_detail values(1197, 1159, '09:03', '10:14');
insert into attendance_detail values(1198, 1159, '11:40', '17:57');
insert into attendance_detail values(1199, 1160, '09:05', '17:54');
insert into attendance_detail values(1200, 1161, '09:23', '10:53');
insert into attendance_detail values(1201, 1161, '11:50', '17:55');
insert into attendance_detail values(1202, 1162, '09:06', '17:55');
insert into attendance_detail values(1203, 1163, '09:03', '17:53');
insert into attendance_detail values(1204, 1164, '09:01', '17:56');
insert into attendance_detail values(1205, 1165, '09:07', '17:54');
insert into attendance_detail values(1206, 1166, '09:10', '17:59');
insert into attendance_detail values(1207, 1167, '09:08', '17:55');
insert into attendance_detail values(1208, 1168, '10:51', '17:52');
insert into attendance_detail values(1209, 1169, '09:00', '17:59');
insert into attendance_detail values(1210, 1170, '09:33', '10:02');
insert into attendance_detail values(1211, 1170, '11:36', '17:58');
insert into attendance_detail values(1212, 1171, '10:26', '15:14');
insert into attendance_detail values(1213, 1171, '16:38', '17:55');
insert into attendance_detail values(1214, 1172, '09:07', '17:53');
insert into attendance_detail values(1215, 1173, '09:02', '17:53');
insert into attendance_detail values(1216, 1174, '09:07', '17:52');
insert into attendance_detail values(1217, 1175, '09:09', '17:51');
insert into attendance_detail values(1218, 1176, '09:07', '17:58');
insert into attendance_detail values(1219, 1177, '09:05', '17:55');
insert into attendance_detail values(1220, 1178, '10:49', '17:59');
insert into attendance_detail values(1221, 1179, '09:08', '17:53');
insert into attendance_detail values(1222, 1180, '09:06', '17:56');
insert into attendance_detail values(1223, 1181, '09:07', '17:52');
insert into attendance_detail values(1224, 1182, '09:10', '17:51');
insert into attendance_detail values(1225, 1183, '09:38', '17:54');
insert into attendance_detail values(1226, 1184, '09:08', '17:50');
insert into attendance_detail values(1227, 1185, '09:01', '17:55');
insert into attendance_detail values(1228, 1186, '09:09', '17:55');
insert into attendance_detail values(1229, 1187, '09:04', '17:50');
insert into attendance_detail values(1230, 1188, '09:09', '17:52');
insert into attendance_detail values(1231, 1189, '09:04', '17:56');
insert into attendance_detail values(1232, 1190, '09:05', '17:54');
insert into attendance_detail values(1233, 1191, '09:03', '17:54');
insert into attendance_detail values(1234, 1192, '10:12', '12:16');
insert into attendance_detail values(1235, 1192, '13:40', '17:54');
insert into attendance_detail values(1236, 1193, '09:53', '17:57');
insert into attendance_detail values(1237, 1194, '09:06', '17:58');
insert into attendance_detail values(1238, 1195, '09:09', '17:55');
insert into attendance_detail values(1239, 1196, '09:00', '17:59');
insert into attendance_detail values(1240, 1197, '09:09', '17:53');
insert into attendance_detail values(1241, 1198, '09:07', '17:53');
insert into attendance_detail values(1242, 1199, '10:54', '17:58');
insert into attendance_detail values(1243, 1200, '09:05', '17:51');
insert into attendance_detail values(1244, 1201, '09:01', '17:57');
insert into attendance_detail values(1245, 1202, '09:07', '17:53');
insert into attendance_detail values(1246, 1203, '09:02', '17:58');
